reg,X,Y,Lon,Lat,clase,band1,band2,band3,band4,band5,band6
139,852.5,909.5,-61.73626368,-37.74369718,1,196,415,252,3933,1259,570
139,922.5,1013.5,-61.7119462,-37.77155352,1,194,428,251,3636,1153,550
140,851.5,909.5,-61.73660411,-37.74370083,1,194,424,268,3797,1298,610
140,922.5,1014.5,-61.71194151,-37.77182385,1,198,445,258,3489,1209,573
141,975.5,1086.5,-61.69354949,-37.79108867,1,219,577,380,3558,1478,759
142,852.5,908.5,-61.73626828,-37.74342684,1,195,413,245,3931,1252,577
142,976.5,1087.5,-61.69320408,-37.79135521,1,212,586,384,3595,1456,748
148,844.5,907.5,-61.73899631,-37.74318568,1,255,483,380,3330,1475,817
149,976.5,1090.5,-61.6931898,-37.79216619,1,231,595,426,3340,1474,781
150,977.5,1090.5,-61.69284915,-37.79216241,1,228,572,360,3616,1416,721
151,972.5,1091.5,-61.69454763,-37.79245163,1,260,620,511,3016,1621,944
151,856.5,928.5,-61.73481451,-37.74881889,1,175,437,237,3902,1151,521
152,974.5,1091.5,-61.69386633,-37.79244407,1,259,620,512,2914,1606,925
152,856.5,929.5,-61.73480991,-37.74908922,1,188,447,246,3775,1172,537
153,974.5,1091.5,-61.69386633,-37.79244407,1,259,620,512,2914,1606,925
153,855.5,929.5,-61.73515036,-37.74909287,1,180,437,232,3909,1158,523
154,975.5,1091.5,-61.69352569,-37.7924403,1,240,602,484,3072,1552,883
160,998.5,1116.5,-61.68557102,-37.79911127,1,198,444,346,2698,1280,685
160,861.5,933.5,-61.73308919,-37.75015226,1,187,433,221,4262,1145,511
161,860.5,933.5,-61.73342965,-37.75015592,1,182,423,209,4445,1136,502
161,999.5,1117.5,-61.68522555,-37.79937779,1,195,434,334,2827,1219,661
162,999.5,1116.5,-61.68523034,-37.79910747,1,198,447,356,2701,1284,682
163,1000.5,1116.5,-61.68488966,-37.79910366,1,186,436,332,2773,1234,651
164,1000.5,1117.5,-61.68488487,-37.79937399,1,197,446,337,2833,1225,649
165,995.5,1116.5,-61.68659305,-37.79912267,1,205,422,350,2596,1281,709
165,861.5,936.5,-61.73307536,-37.75096326,1,180,446,221,4268,1142,510
166,996.5,1116.5,-61.68625238,-37.79911887,1,204,426,349,2588,1269,712
172,853.5,936.5,-61.73579908,-37.75099251,1,181,429,216,4526,1144,500
173,981.5,1079.5,-61.69153901,-37.7891737,1,173,437,286,3112,1163,596
174,982.5,1079.5,-61.69119837,-37.78916992,1,156,415,255,3274,1082,540
175,982.5,1078.5,-61.69120314,-37.78889959,1,162,413,271,3143,1111,553
175,850.5,931.5,-61.73684345,-37.7496518,1,178,437,220,4268,1136,499
176,982.5,1077.5,-61.69120791,-37.78862926,1,181,438,321,2854,1198,646
177,981.5,1077.5,-61.69154854,-37.78863305,1,199,448,340,2790,1257,690
177,849.5,930.5,-61.7371885,-37.74938511,1,185,449,226,4192,1151,510
178,851.5,930.5,-61.73650759,-37.74937781,1,182,434,214,4367,1131,499
178,980.5,1080.5,-61.69187487,-37.78944781,1,189,448,326,2856,1227,664
185,984.5,1077.5,-61.69052665,-37.78862169,1,190,459,345,2783,1262,699
185,1256.5,1361.5,-61.59642384,-37.8643245,2,320,684,699,2634,1974,1252
186,988.5,1085.5,-61.68912591,-37.79076915,1,170,452,291,3356,1179,602
186,1255.5,1357.5,-61.59678531,-37.86324731,2,491,873,958,2759,2368,1571
187,1255.5,1354.5,-61.59680069,-37.86243638,2,461,876,1016,2818,2393,1579
187,988.5,1084.5,-61.68913069,-37.79049882,1,175,451,305,3145,1189,621
188,989.5,1084.5,-61.68879005,-37.79049503,1,169,468,282,3508,1190,591
189,989.5,1085.5,-61.68878527,-37.79076535,1,169,447,276,3362,1149,577
190,990.5,1086.5,-61.68843985,-37.79103189,1,165,454,287,3201,1152,584
191,990.5,1087.5,-61.68843507,-37.79130221,1,169,452,276,3294,1138,577
198,990.5,1090.5,-61.68842073,-37.79211319,1,173,454,286,3254,1149,591
199,991.5,1090.5,-61.68808009,-37.7921094,1,171,455,286,3267,1151,594
199,1251.5,1354.5,-61.59816452,-37.86245263,2,622,1058,1306,3103,2625,1737
200,991.5,1089.5,-61.68808487,-37.79183907,1,168,455,280,3276,1142,571
201,1073.5,1193.5,-61.65964404,-37.81963815,1,183,512,423,2692,1209,674
201,1250.5,1355.5,-61.59850036,-37.862727,2,600,1056,1281,3061,2543,1675
202,1074.5,1194.5,-61.65929838,-37.81990459,1,186,516,418,2727,1240,683
203,1075.5,1195.5,-61.65895272,-37.82017103,1,187,517,427,2697,1236,688
203,1249.5,1355.5,-61.59884132,-37.86273106,2,606,1072,1332,3020,2630,1755
204,1075.5,1196.5,-61.65894782,-37.82044135,1,197,519,447,2563,1266,730
211,1069.5,1198.5,-61.66098269,-37.82100526,1,198,531,468,2537,1263,734
212,1070.5,1198.5,-61.66064192,-37.82100138,1,193,519,465,2516,1271,747
213,1032.5,1118.5,-61.67397831,-37.79952209,2,829,1190,1609,2655,3839,2859
213,1071.5,1198.5,-61.66030114,-37.82099751,1,202,524,501,2398,1300,781
214,1071.5,1199.5,-61.66029626,-37.82126783,1,211,531,527,2226,1340,810
215,1070.5,1200.5,-61.66063215,-37.82154203,1,221,527,530,2236,1340,818
216,1059.5,1160.5,-61.66457554,-37.81077172,1,413,684,609,2828,2068,1315
216,1032.5,1124.5,-61.67394931,-37.80114403,2,728,1040,1405,2550,3631,2706
217,1060.5,1161.5,-61.66422994,-37.81103818,1,405,676,595,2830,2031,1294
218,1059.5,1161.5,-61.66457067,-37.81104205,1,401,687,632,2690,2087,1358
226,1029.5,1122.5,-61.67498103,-37.80061489,2,776,1128,1504,2526,3790,2782
226,1064.5,1166.5,-61.66284264,-37.81237433,1,424,665,662,2451,2183,1470
227,1029.5,1121.5,-61.67498586,-37.80034457,2,777,1122,1495,2540,3726,2760
227,1066.5,1164.5,-61.66217093,-37.81182594,1,354,582,544,2507,1902,1240
228,1066.5,1164.5,-61.66217093,-37.81182594,1,354,582,544,2507,1902,1240
229,1065.5,1164.5,-61.66251166,-37.81182981,1,383,621,588,2491,2063,1336
229,1028.5,1119.5,-61.6753362,-37.79980775,2,847,1217,1646,2646,3982,2932
230,1028.5,1114.5,-61.67536034,-37.79845613,2,854,1186,1588,2617,3922,3114
230,1065.5,1163.5,-61.66251654,-37.81155949,1,338,582,532,2592,1844,1173
231,1193.5,1321.5,-61.61810676,-37.85376607,1,331,756,626,3478,2072,1155
237,1198.5,1322.5,-61.6163971,-37.85401636,1,318,717,603,3176,1996,1124
238,1198.5,1324.5,-61.616387,-37.85455699,1,359,736,697,2842,2170,1354
239,1199.5,1324.5,-61.61604607,-37.85455298,1,376,751,706,2864,2208,1390
240,1026.5,1118.5,-61.67602239,-37.79954509,2,835,1192,1618,2603,3954,2932
240,1199.5,1325.5,-61.61604102,-37.8548233,1,387,738,721,2694,2214,1444
241,1026.5,1113.5,-61.67604652,-37.79819347,2,821,1207,1599,2632,3893,2862
241,1195.5,1325.5,-61.61740472,-37.85483932,1,349,736,669,3025,2175,1318
242,1194.5,1324.5,-61.61775069,-37.85457301,1,327,724,589,3228,2066,1141
242,1026.5,1122.5,-61.67600309,-37.80062638,2,774,1123,1502,2451,3804,2808
243,1195.5,1324.5,-61.61740977,-37.854569,1,326,721,595,3164,2069,1192
250,1212.5,1340.5,-61.61153293,-37.85882583,1,167,582,384,3246,1216,596
251,1213.5,1340.5,-61.61119199,-37.8588218,1,150,561,350,3428,1160,558
251,1024.5,1118.5,-61.67670375,-37.79955274,2,830,1169,1571,2591,4029,3024
252,1213.5,1341.5,-61.61118691,-37.85909212,1,166,582,406,3193,1213,615
253,1213.5,1343.5,-61.61117677,-37.85963275,1,167,576,382,3178,1164,579
253,1023.5,1115.5,-61.67705889,-37.7987456,2,790,1160,1559,2548,3921,2828
254,1210.5,1342.5,-61.61220468,-37.85937449,1,175,558,416,2864,1192,636
255,1209.5,1342.5,-61.61254562,-37.85937851,1,160,550,384,3075,1153,579
255,1022.5,1111.5,-61.67741885,-37.79766813,2,783,1140,1520,2481,3728,2815
256,1209.5,1341.5,-61.61255069,-37.8591082,1,144,568,366,3243,1140,549
263,1020.5,1120.5,-61.67805683,-37.80010869,2,736,1067,1421,2370,3600,2717
263,1088.5,1189.5,-61.65455213,-37.81849858,1,164,526,319,3657,1193,574
264,1020.5,1119.5,-61.67806165,-37.79983837,2,752,1067,1439,2340,3597,2721
264,1086.5,1189.5,-61.65523366,-37.81850636,1,171,553,375,3411,1253,626
265,1084.5,1189.5,-61.65591519,-37.81851414,1,151,494,304,3709,1182,565
266,1083.5,1189.5,-61.65625595,-37.81851803,1,149,464,277,3751,1138,539
266,1019.5,1109.5,-61.6784505,-37.79713895,2,673,975,1258,2215,3351,2568
267,1083.5,1188.5,-61.65626085,-37.81824771,1,155,473,268,3834,1152,537
267,1019.5,1115.5,-61.6784216,-37.79876089,2,813,1172,1580,2569,3923,2863
